epoch,test_loss,test_acc,train_loss,train_acc,time_elapsed
0,0.021569570875167848,10.14,nan,nan,nan
1,0.0032642014384269714,73.34,0.0009249190387823393,81.25,7.548483610153198
2,0.0027511806428432463,76.91,0.0007418980226492334,87.5,7.520210266113281
3,0.002639626860618591,77.71,0.0006581410727537502,81.25,7.458651542663574
4,0.0022733380675315855,80.72,0.0004875975877732572,75.0,7.476974248886108
5,0.002229560723900795,81.79,0.0009090430901178619,81.25,7.3976218700408936
6,0.0023804849326610564,80.62,0.00027360982449768146,93.75,7.388373136520386
7,0.0024723994016647337,79.86,0.0002455930308917599,93.75,7.433964014053345
8,0.002630351543426514,77.81,0.0008586719822700676,81.25,7.711556911468506
9,0.0023920274287462235,80.13,0.0010390879248109316,75.0,7.654270172119141
10,0.0023024927496910095,80.69,0.0007676817572025387,75.0,7.513963222503662
11,0.002812399324774742,77.44,0.000906560808191519,75.0,7.392946004867554
12,0.002719592785835266,78.19,0.0006733156378616762,75.0,7.496522903442383
13,0.0023440508902072906,80.05,0.0008074276130217726,75.0,7.476058721542358
14,0.002499553361535072,79.59,0.0010436039294123346,75.0,7.358963966369629
15,0.0024631552070379257,79.67,0.0001402830185792635,100.0,7.397033214569092
16,0.0021455859005451204,81.96,0.00024216199088889314,93.75,7.316693067550659
17,0.0026555454075336458,79.55,0.0003875885396967154,87.5,7.400477409362793
18,0.002777200961112976,78.22,0.0006036329299897489,87.5,7.405949115753174
19,0.002556058901548386,79.82,0.0007417268307922441,75.0,7.375946998596191
20,0.0021778362423181532,81.53,0.001011748066948503,75.0,7.50860595703125
21,0.0022823735386133196,80.72,0.0006237143979353063,81.25,7.399144649505615
22,0.00257662807404995,79.24,0.0005939816270033112,81.25,7.3063063621521
23,0.002159105908870697,81.72,0.00022849269077905912,93.75,7.404002904891968
24,0.002429289171099663,79.79,0.0009420895972825072,68.75,7.526137351989746
25,0.002414012077450752,80.12,0.0007102775299335684,81.25,7.456086874008179
26,0.0021915027916431427,82.05,0.0006930768642279193,75.0,7.412805795669556
27,0.0022062725991010665,81.55,0.0008667674668304756,87.5,7.4830780029296875
28,0.0025749179571866987,79.31,0.0004055044992500559,87.5,7.516540765762329
29,0.002093733114004135,82.09,0.0005837082481750137,87.5,7.519240379333496
30,0.0021961463272571562,81.49,0.0009736389760166178,75.0,7.712208271026611
31,0.0023537743955850603,80.36,0.0007980887389853787,81.25,7.37085485458374
32,0.0021883801341056825,82.02,0.00024770310772654345,93.75,7.373035430908203
33,0.002063097035884857,82.67,0.0003180871991550221,87.5,7.629324436187744
34,0.0024621529310941697,79.48,0.0005183388738680983,87.5,7.623448371887207
35,0.002354652628302574,80.49,0.0006664531005313025,81.25,7.523937940597534
36,0.0023047466337680817,81.23,0.0008883631747701894,75.0,7.531230211257935
37,0.0028473887890577317,76.59,0.0009624121134238475,62.5,7.565575122833252
38,0.0022794881224632263,80.79,0.0010453668396796106,68.75,7.4459333419799805
39,0.002122402384877205,82.07,0.0003000513062147838,87.5,7.67877459526062
40,0.0023712811827659606,80.89,0.000339481798584199,93.75,8.212319374084473
41,0.0022674265712499617,80.74,0.0006443194263731427,81.25,7.680493116378784
42,0.0025042139202356337,79.65,0.0010256498975826957,68.75,7.600457668304443
43,0.0027094478368759156,78.53,0.001114142444127661,62.5,7.763087511062622
44,0.002740674811601639,77.38,0.0005524708410663068,87.5,7.385667324066162
45,0.0024639524102211,79.35,0.0006734782167712746,81.25,7.675164461135864
46,0.002298542630672455,80.68,0.0012397599951995304,68.75,7.667857885360718
47,0.0023830913305282592,79.99,0.0004966710991871631,81.25,7.363098382949829
48,0.002443716061115265,80.38,0.0006839045325813391,81.25,7.727610111236572
49,0.0022775015115737915,80.68,0.00104150564774223,68.75,7.256663084030151
50,0.003046063995361328,75.81,0.0005105016252878682,87.5,7.6815290451049805
51,0.0021893353313207626,81.82,0.00033575753726617757,93.75,7.93837571144104
52,0.002298386062681675,81.29,0.0013525737520983761,62.5,7.459706783294678
53,0.002322012627124786,80.98,0.00032302794401602977,87.5,7.5355002880096436
54,0.0028628644734621047,76.8,0.00039523024388286464,87.5,7.478803873062134
55,0.0028533308684825895,77.99,0.0006740372199231707,75.0,7.4449310302734375
56,0.0025413554668426513,78.92,0.0006606144368496088,87.5,7.538954734802246
57,0.0019903394311666486,82.99,0.0006592982565350545,81.25,7.645965814590454
58,0.0024987352788448333,80.44,0.0007263511190633944,87.5,7.557923316955566
59,0.0021247988134622574,82.43,0.0005030563420346935,93.75,7.45901083946228
60,0.0020212327241897585,83.06,0.0006745977474905341,81.25,7.525839328765869
61,0.0026643881231546403,79.0,0.0005263843957115622,81.25,7.5982725620269775
62,0.0021165036410093307,82.11,0.0006511827259112502,75.0,7.412219285964966
63,0.0022794166624546053,81.25,0.0009792481389496943,62.5,7.288591146469116
64,0.0026689529538154603,79.58,0.0005284178516139154,87.5,7.376588582992554
65,0.00221109701693058,81.57,0.0006628335284455048,87.5,7.256173849105835
66,0.00231218221783638,80.69,0.0006751859431986309,81.25,7.4909608364105225
67,0.0023463085055351256,80.24,0.0007273945814508306,81.25,7.353977680206299
68,0.0028519806295633316,76.12,0.000628971306564253,75.0,7.54587197303772
69,0.0028923070073127747,76.74,0.000782440537991731,81.25,7.425347089767456
70,0.0025684468984603884,80.32,0.0004294572583854656,81.25,7.48322057723999
71,0.002198652186989784,82.21,0.00043290773468554174,81.25,7.40948486328125
72,0.0026613686621189117,79.45,0.0006191218676774398,81.25,7.56328821182251
73,0.002125923728942871,82.71,0.00026831512942033657,100.0,7.5681116580963135
74,0.0026144135653972628,78.92,0.000736167592465725,81.25,7.59119176864624
75,0.0021820200860500336,81.69,0.0012975882386307583,56.25,7.661408424377441
76,0.002497104957699776,79.31,0.0012825882953146229,81.25,7.5519700050354
77,0.0021099739223718644,82.56,0.0008879965528502794,75.0,7.477214097976685
78,0.0022866045147180557,81.48,0.0004065160632438367,87.5,7.92612099647522
79,0.0021794834285974504,81.65,0.0005919481329905713,87.5,8.063395261764526
80,0.0027774065017700197,77.98,0.0008442489539875704,62.5,7.439551115036011
81,0.0014991520032286644,87.21,0.00026697734051653186,87.5,7.53969407081604
82,0.0014531751677393913,87.54,0.0004268593114355336,87.5,7.432277679443359
83,0.0014373120129108428,87.7,0.0006301201441708733,87.5,7.480424165725708
